PERMNO,date,TICKER,PRC,ewretd
92611,20100716,V,71.45,-0.024131
92611,20100719,V,71.22,0.003039
92611,20100720,V,73.6,0.01159
92611,20100721,V,72.36,-0.009837
92611,20100722,V,74.46,0.023312
92611,20100723,V,75.59,0.01352
92611,20100726,V,76.08,0.013834
92611,20100727,V,76.61,-0.002162
92611,20100728,V,75.18,-0.007818
92611,20100729,V,71.98,0.00046
92611,20100730,V,73.35,0.003373
92611,20100802,V,72.23,0.0136
92611,20100803,V,73,-0.00456
92611,20100804,V,72.45,0.007322
92611,20100805,V,71.5,-0.004121
92611,20100806,V,72.14,-0.002671
92611,20100809,V,74.74,0.006802
92611,20100810,V,75.27,-0.01158
92611,20100811,V,73.51,-0.028496
92611,20100812,V,72.98,-0.003038
92611,20100813,V,72.22,-0.004209
92611,20100816,V,72.83,0.00363
92611,20100817,V,73.36,0.012332
92611,20100818,V,72.88,0.001914
92611,20100819,V,71.63,-0.016574
92611,20100820,V,70.1,-0.001642
92611,20100823,V,70.12,-0.008724
92611,20100824,V,70.66,-0.011864
92611,20100825,V,70.86,0.005698
92611,20100826,V,69.91,-0.004949
92611,20100827,V,71.11,0.018576
92611,20100830,V,69.54,-0.013772
92611,20100831,V,68.98,0.00036
92611,20100901,V,70.53,0.024891
92611,20100902,V,71.98,0.008299
92611,20100903,V,72.5,0.011735
92611,20100907,V,71.5,-0.012413
92611,20100908,V,68.55,0.006096
92611,20100909,V,66.78,0.002373
92611,20100910,V,68.09,0.004082
92611,20100913,V,65.48,0.015681
92611,20100914,V,67.12,-0.000765
92611,20100915,V,68.93,0.001406
92611,20100916,V,68.38,-0.002686
92611,20100917,V,68.49,0.003139
92611,20100920,V,70.31,0.017201
92611,20100921,V,69.94,-0.002994
92611,20100922,V,70.62,-0.005267
92611,20100923,V,70.98,-0.006134
92611,20100924,V,72.37,0.020093
92611,20100927,V,73,-0.001479
92611,20100928,V,73.27,0.007405
92611,20100929,V,74.41,0.002018
92611,20100930,V,74.26,0.001188
92611,20101001,V,73.32,0.004502
92611,20101004,V,73.24,-0.009036
92611,20101005,V,74.99,0.018548
92611,20101006,V,74.23,-0.000477
92611,20101007,V,73.61,-0.001648
92611,20101008,V,74,0.009939
92611,20101011,V,74.29,0.001862
92611,20101012,V,74.25,0.00378
92611,20101013,V,76.94,0.011164
92611,20101014,V,77.17,-0.001723
92611,20101015,V,77.6,-0.000574
92611,20101018,V,78.36,0.005744
92611,20101019,V,77.55,-0.016739
92611,20101020,V,79.52,0.01023
92611,20101021,V,79.2,-0.003003
92611,20101022,V,79.29,0.005055
92611,20101025,V,80.63,0.005167
92611,20101026,V,80.03,0.000521
92611,20101027,V,79.92,-0.004156
92611,20101028,V,76.45,-0.000824
92611,20101029,V,78.16,0.003556
92611,20101101,V,77.32,-0.003474
92611,20101102,V,78.42,0.011684
92611,20101103,V,79,0.002305
92611,20101104,V,79.99,0.017268
92611,20101105,V,79.8,0.004517
92611,20101108,V,78.71,0.002147
92611,20101109,V,78.32,-0.009232
92611,20101110,V,79.29,0.005925
92611,20101111,V,79.22,-0.00441
92611,20101112,V,76.94,-0.012531
92611,20101115,V,76.36,-0.00131
92611,20101116,V,74.99,-0.01671
92611,20101117,V,75.73,0.00286
92611,20101118,V,76.94,0.012539
92611,20101119,V,77.05,0.003861
92611,20101122,V,75.46,0.001011
92611,20101123,V,74.65,-0.010221
92611,20101124,V,75.82,0.014314
92611,20101126,V,75.48,-0.002554
92611,20101129,V,74.19,-0.000616
92611,20101130,V,73.85,-0.005344
92611,20101201,V,75.22,0.013234
92611,20101202,V,77,0.008935
92611,20101203,V,77.35,0.005105
92611,20101206,V,78.31,0.00299
92611,20101207,V,76.88,0.000215
92611,20101208,V,77.94,-0.001006
92611,20101209,V,79.12,0.00349
92611,20101210,V,80.2,0.006814
92611,20101213,V,80.89,-0.001501
92611,20101214,V,80.64,-0.001453
92611,20101215,V,76.94,-0.004134
92611,20101216,V,67.19,0.007882
92611,20101217,V,66.9,0.003671
92611,20101220,V,67.99,0.00071
92611,20101221,V,68.05,0.008653
92611,20101222,V,68.55,0.003301
92611,20101223,V,68.73,0.000389
92611,20101227,V,70.81,0.003479
92611,20101228,V,70.73,-0.000227
92611,20101229,V,70.6,0.004137
92611,20101230,V,70.29,0.001308
92611,20101231,V,70.38,0.000871
92611,20110103,V,70.52,0.012533
92611,20110104,V,70.6,-0.006753
92611,20110105,V,72.09,0.007944
92611,20110106,V,73.17,-0.001211
92611,20110107,V,72.96,-0.002848
92611,20110110,V,71.81,0.002287
92611,20110111,V,71.88,0.005963
92611,20110112,V,72.61,0.008259
92611,20110113,V,71.14,-0.0005
92611,20110114,V,71.12,0.004736
92611,20110118,V,71.21,0.002518
92611,20110119,V,69.12,-0.016081
92611,20110120,V,70.69,-0.0076
